month,day,hour,minute,temperature,clearsky_dhi,clearsky_dni,clearsky_ghi,cloud_type,dew_point,dhi,dni,fill_flag,ghi,relative_humidity,solar_zenith_angle,surface_albedo,pressure,precipitable_water,wind_direction,wind_speed,cdte,solar_azimuth_angle,0.2800_um,0.2805_um,0.2810_um,0.2815_um,0.2820_um,0.2825_um,0.2830_um,0.2835_um,0.2840_um,0.2845_um,0.2850_um,0.2855_um,0.2860_um,0.2865_um,0.2870_um,0.2875_um,0.2880_um,0.2885_um
1,1,10,0,0.6423841059602649,95.0,840.0,501.0,7.0,-8.8,216.0,214.0,3.0,0.29868913857677903,7.57,61.15,0.19,952.0,0.6,161.0,0.13432835820895522,1.0402948452318597,227.67174050112348,6.632163195219932e-19,7.278083427478146e-18,3.452647515730628e-17,1.1918091152977308e-15,4.517134973624738e-15,1.5004461184134717e-14,4.7971290179419e-14,4.9543423229863294e-14,1.2091447821434728e-12,2.959518850976331e-12,5.329880698576841e-12,1.6893516576027653e-11,9.361216408570052e-11,3.651560360490609e-10,1.2101390315076787e-09,3.787313980807682e-09,1.0094364272494246e-08,3.6513320661010126e-08
1,1,11,0,0.5662251655629138,74.0,692.0,285.0,1.0,-6.1,74.0,692.0,0.0,0.26685393258426965,10.65,72.28,0.19,952.0,0.6,140.0,0.08955223880597014,0.984935580405382,236.53950449457176,3.738215121442875e-19,5.53392328330794e-18,2.2161186553760797e-17,3.5319339565942723e-16,1.8869169869173683e-15,5.665274356802305e-15,1.8146025176670685e-14,3.0611032452002984e-14,3.8398218030928985e-13,9.864514105454394e-13,2.047366732143054e-12,9.140329201548784e-12,3.1580108206473903e-11,1.4050788970909164e-10,3.8533227877582855e-10,1.3008402731946966e-09,5.058656696427898e-09,1.35593692140591e-08
1,1,12,0,0.4403973509933775,33.0,337.0,66.0,0.0,-6.8,33.0,337.0,0.0,0.06179775280898876,12.61,84.39,0.19,953.0,0.6,121.0,0.16417910447761194,0.9601480815886752,243.1260064599224,2.1630988501918733e-19,3.2226302246498912e-18,1.2884477406483566e-17,2.0224595257637236e-16,1.0880000086734374e-15,3.224650139337672e-15,1.0404195485745981e-14,1.7523729400441192e-14,2.1840822317636574e-13,5.588033962111398e-13,1.1548976867244965e-12,5.075662239680882e-12,1.7679682586445923e-11,7.824063384281304e-11,2.1375431115398908e-10,7.172434389255413e-10,2.76895002128476e-09,7.385812808931536e-09
1,1,13,0,0.35761589403973515,0.0,0.0,0.0,0.0,-7.2,0.0,0.0,0.0,0.0,14.26,-9999.0,0.19,954.0,0.6,116.0,0.20895522388059698,0.0,248.1571730276061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,14,0,0.29139072847682124,0.0,0.0,0.0,3.0,-7.2,0.0,0.0,0.0,0.0,16.13,-9999.0,0.19,954.0,0.6,116.0,0.22388059701492535,0.0,252.08351075491413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,15,0,0.24503311258278138,0.0,0.0,0.0,8.0,-7.1,0.0,0.0,0.0,0.0,17.84,-9999.0,0.19,954.0,0.6,120.0,0.20895522388059698,0.0,255.1394718739417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,16,0,0.21192052980132448,0.0,0.0,0.0,1.0,-6.8,0.0,0.0,0.0,0.0,19.45,-9999.0,0.19,954.0,0.6,128.0,0.20895522388059698,0.0,257.33649953912163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,17,0,0.1821192052980133,0.0,0.0,0.0,1.0,-6.5,0.0,0.0,0.0,0.0,21.07,-9999.0,0.19,954.0,0.6,136.0,0.20895522388059698,0.0,258.21984932168425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,18,0,0.1456953642384105,0.0,0.0,0.0,0.0,-6.2,0.0,0.0,0.0,0.0,23.05,-9999.0,0.19,953.0,0.6,143.0,0.20895522388059698,0.0,255.0013240594424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,19,0,0.1092715231788079,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,0.0,25.15,-9999.0,0.19,953.0,0.6,148.0,0.20895522388059698,0.0,185.5008905364128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
