month,day,hour,minute,temperature,clearsky_dhi,clearsky_dni,clearsky_ghi,cloud_type,dew_point,dhi,dni,fill_flag,ghi,relative_humidity,solar_zenith_angle,surface_albedo,pressure,precipitable_water,wind_direction,wind_speed,cdte,solar_azimuth_angle,0.2800_um,0.2805_um,0.2810_um,0.2815_um,0.2820_um,0.2825_um,0.2830_um,0.2835_um,0.2840_um,0.2845_um,0.2850_um,0.2855_um,0.2860_um,0.2865_um,0.2870_um,0.2875_um,0.2880_um,0.2885_um
1,1,2,0,0.22619047619047605,45,167,63,0,17.6,45,167,0,0.05747126436781609,88.61,83.8,0.14,953,2.7,123,3.0,0.9600459658821516,116.260492085306,2.2860179770742004e-19,3.4035148347471454e-18,1.3604121321783716e-17,2.1343145927015406e-16,1.147653775800228e-15,3.400191040478061e-15,1.0966093008471032e-14,1.8467437850603303e-14,2.299479217259334e-13,5.8800995662593e-13,1.214496376846913e-12,5.334034978854323e-12,1.856982145438619e-11,8.212561208997518e-11,2.2422804991474922e-10,7.517189480930595e-10,2.8984960047512554e-09,7.726297513802952e-09
1,1,3,0,0.3571428571428571,110,488,267,0,18.4,110,488,0,0.2528735632183908,76.32,71.32,0.14,953,2.7,134,3.7,1.0304919313488088,122.09645055856151,3.3691480445027656e-19,5.03560909958685e-18,2.016542516205569e-17,3.1770433525781766e-16,1.7136197733923842e-15,5.089061714480308e-15,1.6457637583210335e-14,2.7759232095740822e-14,3.47772832764134e-13,8.923859278498537e-13,1.8503975145733266e-12,8.165893617408283e-12,2.8502957230034003e-11,1.2663773597152136e-10,3.470732215718797e-10,1.1699314465027407e-09,4.543824415695974e-09,1.216653914675792e-08
1,1,4,0,0.4722222222222221,128,697,479,0,18.4,128,697,0,0.4559386973180076,64.0,59.71,0.14,953,2.7,142,3.7,1.032591700109628,130.26809832219482,1.361188160826195e-18,2.032088661198689e-17,8.131540020289856e-17,1.2794206675773445e-15,6.8936869517641935e-15,2.045631614528877e-14,6.609177050327836e-14,1.1139710746386467e-13,1.393240493200658e-12,3.5714019421397088e-12,7.396666804776989e-12,3.2596470896758425e-11,1.1367481580213281e-10,5.044471222946343e-10,1.3809708069493706e-09,4.648332222172305e-09,1.8023629623071832e-08,4.820583345813016e-08
1,1,5,0,0.5595238095238093,130,811,654,0,17.7,130,811,0,0.6235632183908045,53.85,49.71,0.14,953,2.7,151,3.3,1.0292553482570928,141.92848111715972,3.956020693507557e-18,5.907365638007436e-17,2.3637973889609813e-16,3.721249747602343e-15,2.0058183316795862e-14,5.952971205459897e-14,1.9238526314975322e-13,3.2430830431031643e-13,4.062340540855187e-12,1.0424177252328163e-11,2.1620367188908863e-11,9.55367901985603e-11,3.3359909074746966e-10,1.4863140560128988e-09,4.086387225794551e-09,1.3865860102571064e-08,5.4637663998549014e-08,1.4799071357671258e-07
1,1,6,0,0.6230158730158728,152,824,759,0,16.7,152,824,0,0.7241379310344827,46.11,42.48,0.14,952,2.7,167,2.9,1.0254393446334529,158.2948343409471,7.377305839230337e-18,1.0929161928991345e-16,4.3764952789496013e-16,6.994353330927712e-15,3.746865688618244e-14,1.1274773316616053e-13,3.62440962627696e-13,6.126246788449448e-13,7.825207580220963e-12,2.0355621096614612e-11,4.3020437981154064e-11,1.9770782606122755e-10,6.930863592377711e-10,3.199683226225401e-09,9.07691246987128e-09,3.228649426434334e-08,1.3628565715863374e-07,3.845359208926376e-07
1,1,7,0,0.6587301587301586,149,848,802,0,15.9,149,848,0,0.7653256704980842,41.57,39.59,0.14,951,2.7,186,2.8,1.0247487676259637,178.9086214667442,9.794480084126129e-18,1.4738374267459795e-16,5.858807309815292e-16,9.450287789373282e-15,5.103651234535179e-14,1.5459576293115592e-13,5.012889674354345e-13,8.60861384712205e-13,1.1201760305027336e-11,2.9625597432179837e-11,6.453869887007058e-11,3.0153763108402005e-10,1.0697937007311338e-09,5.054907853572685e-09,1.4602009708274669e-08,5.297927777837138e-08,2.283417791786147e-07,6.494106630810609e-07
1,1,8,0,0.6746031746031744,146,837,768,0,15.4,146,837,1,0.7327586206896551,39.4,41.96,0.14,950,2.8,203,2.8,1.0269805461347568,199.7846009492428,7.740021557877327e-18,1.159085428814131e-16,4.596303231807051e-16,7.348480537811894e-15,3.939805624064349e-14,1.1867508942853476e-13,3.817812111612832e-13,6.524969502749309e-13,8.278210031928209e-12,2.181551754694787e-11,4.624654668421824e-11,2.1128186207683644e-10,7.422681071157015e-10,3.442824957643539e-09,9.802575717296016e-09,3.5032559998821683e-08,1.4874248951046453e-07,4.208397622210595e-07
1,1,9,0,0.6666666666666665,156,759,656,1,15.1,156,759,0,0.6254789272030651,39.03,48.82,0.14,949,2.8,216,2.8,1.0282934987761876,216.65991761923277,3.845568331088121e-18,5.741998530488682e-17,2.2976714311920834e-16,3.617043705813173e-15,1.9298726417906056e-14,5.786495340230282e-14,1.870895505371405e-13,3.1528284887837043e-13,3.9503661823987675e-12,1.013898449690884e-11,2.1039786060198297e-11,9.307728402111216e-11,3.217054495453556e-10,1.435800434344626e-09,3.998414773904892e-09,1.34638535637027e-08,5.337649339247155e-08,1.4532738413703273e-07
1,1,10,0,0.6388888888888886,137,686,495,0,14.9,137,686,0,0.4712643678160919,40.03,58.6,0.14,949,2.8,224,2.7,1.032497675017865,228.7545881583518,1.5009915365572511e-18,2.2405239136178737e-17,8.964974330880978e-17,1.4105863454108285e-15,7.522762657380234e-15,2.2550619144839695e-14,7.288079265246401e-14,1.2281121762571698e-13,1.5358705437966609e-12,3.936891212473608e-12,8.153108148561158e-12,3.5931967264144816e-11,1.2394397183466669e-10,5.499727059180927e-10,1.522298348834281e-09,5.0676929062561225e-09,1.964207681322717e-08,5.2560053702787064e-08
1,1,11,0,0.5753968253968254,102,554,291,3,15.8,114,422,3,0.24425287356321837,46.53,70.09,0.14,949,2.8,227,2.0,1.0587059078583652,237.22555016524257,3.7765929953382754e-19,4.682957419663082e-18,2.0845987917543064e-17,5.735866427284514e-16,2.358257551223014e-15,7.632375657706131e-15,2.4727449162097863e-14,2.9508543128770034e-14,5.988733067107464e-13,1.4799630067236284e-12,2.7556813798200568e-12,9.505492811826568e-12,4.637457538919258e-11,1.862821234102919e-10,5.99435500940945e-10,1.8789041962959835e-09,5.522947918183e-09,1.8439213456761517e-08
