Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Solar Azimuth Units,Panel Tilt Units,Panel Azimuth Units,Spectral Data Units,Version
NSRDB,69977,-,-,-,16.56,75.05,0,532,5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,degrees,degrees,degrees,W/m^2/um,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Si (BPR),Si (Wacker),Si (Eurosil),"GaAs (Bauhuis et al., 2009)","InGap (Gray, 2008)","InGap (McGambridge, 2011)",CdTe,Solar Azimuth Angle,Panel Tilt,Panel Azimuth Angle,0.2800 um,0.2805 um,0.2810 um,0.2815 um,0.2820 um,0.2825 um,0.2830 um,0.2835 um,0.2840 um,0.2845 um,0.2850 um,0.2855 um,0.2860 um,0.2865 um,0.2870 um,0.2875 um,0.2880 um,0.2885 um
2020,1,1,8,0,30.8,146,837,768,0,15.4,146,837,1,768,39.4,41.96,0.14,950,2.8,203,2.8,0.9968654552416513,0.9946734513294285,0.9979998223787335,1.0224822216238565,1.0717630293501168,1.068987237452004,1.0269805461347568,199.78460094924276,16.925589723448738,270,7.740021557877327e-18,1.159085428814131e-16,4.596303231807051e-16,7.348480537811894e-15,3.9398056240643494e-14,1.1867508942853476e-13,3.8178121116128316e-13,6.524969502749308e-13,8.278210031928209e-12,2.181551754694787e-11,4.6246546684218236e-11,2.1128186207683644e-10,7.422681071157015e-10,3.4428249576435395e-09,9.802575717296015e-09,3.5032559998821683e-08,1.4874248951046453e-07,4.208397622210595e-07
2020,1,1,9,0,30.6,156,759,656,1,15.1,156,759,0,656,39.03,48.82,0.14,949,2.8,216,2.8,1.0006638676519355,0.9986399216433145,1.001074583242502,1.0255767255197685,1.0657177652166787,1.0641836966527054,1.0282934987761876,216.65991761923274,34.30824983556962,270,3.8455683310881205e-18,5.741998530488682e-17,2.2976714311920834e-16,3.617043705813173e-15,1.9298726417906056e-14,5.786495340230281e-14,1.8708955053714047e-13,3.152828488783704e-13,3.950366182398768e-12,1.0138984496908841e-11,2.1039786060198297e-11,9.307728402111216e-11,3.2170544954535565e-10,1.435800434344626e-09,3.998414773904892e-09,1.3463853563702701e-08,5.337649339247154e-08,1.4532738413703273e-07
2020,1,1,10,0,29.9,137,686,495,0,14.9,137,686,0,495,40.03,58.6,0.14,949,2.8,224,2.7,1.0065847124200984,1.00463971730256,1.0061105936924257,1.031802587698571,1.0606850335260276,1.060435967082265,1.032497675017865,228.7545881583518,50.930079888129,270,1.500991536557251e-18,2.2405239136178737e-17,8.964974330880978e-17,1.4105863454108283e-15,7.522762657380234e-15,2.2550619144839698e-14,7.288079265246401e-14,1.2281121762571698e-13,1.5358705437966607e-12,3.9368912124736075e-12,8.153108148561158e-12,3.5931967264144816e-11,1.239439718346667e-10,5.499727059180927e-10,1.522298348834281e-09,5.067692906256122e-09,1.964207681322717e-08,5.256005370278706e-08
2020,1,1,11,0,28.3,102,554,291,3,15.8,114,422,3,258,46.53,70.09,0.14,949,2.8,227,2,1.0206051969308243,1.0173932477347911,1.02034730357285,1.055608957686035,1.1008402286625942,1.097989704463219,1.0587059078583652,237.22555016524257,66.68902051305375,270,3.7765929953382754e-19,4.682957419663082e-18,2.0845987917543064e-17,5.735866427284514e-16,2.358257551223014e-15,7.632375657706131e-15,2.4727449162097863e-14,2.9508543128770034e-14,5.988733067107464e-13,1.4799630067236282e-12,2.7556813798200568e-12,9.505492811826568e-12,4.637457538919258e-11,1.862821234102919e-10,5.994355009409451e-10,1.8789041962959835e-09,5.522947918183e-09,1.8439213456761513e-08
2020,1,1,12,0,25,48,272,83,1,18.7,48,272,0,83,67.95,82.52,0.14,950,2.7,233,1,1.0265171799231152,1.02746532086999,1.0219636904862515,1.0175878701668075,0.9168752125181667,0.9191981814674323,1.0092597345708367,243.26312741157744,22.292635159995285,270,2.744692463380391e-19,4.087612335891914e-18,1.6168821355395862e-17,2.563471136581077e-16,1.3647374467371741e-15,4.086797385461555e-15,1.3043825443061594e-14,2.2190911000239304e-14,2.7354797301060864e-13,7.075855738690629e-13,1.461840557231273e-12,6.4210924410212245e-12,2.2118100789149697e-11,9.788839703624421e-11,2.6725511857767177e-10,8.967135170091551e-10,3.458913085409658e-09,9.223869615227676e-09
2020,1,1,13,0,23.4,0,0,0,0,18.4,0,0,0,0,73.32,-9999,0.14,951,2.7,242,1,0,0,0,0,0,0,0,247.65071065038143,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,1,14,0,22.4,0,0,0,0,18,0,0,0,0,76.4,-9999,0.14,952,2.6,253,1.1,0,0,0,0,0,0,0,250.82231972555064,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,1,15,0,21.6,0,0,0,0,17.8,0,0,0,0,79.13,-9999,0.14,953,2.6,265,1.2,0,0,0,0,0,0,0,252.9328607373485,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,1,16,0,20.8,0,0,0,0,17.6,0,0,0,0,81.99,-9999,0.14,953,2.5,274,1.2,0,0,0,0,0,0,0,253.79994131651316,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,1,17,0,19.9,0,0,0,1,17.4,0,0,0,0,85.55,-9999,0.14,953,2.5,280,1.2,0,0,0,0,0,0,0,252.43465082295052,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
